title,developer,content_rating,installs,genre,ad_supported,rating_score,ratings_count,reviews_count,iap_price_range,last_updated
Toy Blast,Peak,Everyone,100000000,Puzzle,True,4.651134,3205633,301964,$0.99 - $99.99 per item,1786122444
Matching Story - Puzzle Games,VERTEX GAMES PTE. LTD.,Everyone,5000000,Casual,False,4.853304,349888,10977,$0.99 - $99.99 per item,1785496647
Happy Color®: Color by Number,X-FLOW,Everyone,100000000,Board,True,4.5693083,3876335,400964,$1.99 - $7.99 per item,1784184317
Vector,NEKKI,Everyone 10+,100000000,Arcade,True,4.700428,3664557,108650,$0.99 - $129.99 per item,1784135181
Two Dots: Brain Puzzle Games,PlayDots,Everyone,50000000,Board,True,4.2694488,1159218,87718,$0.99 - $119.99 per item,1786005029
Minion Rush: Running Game,Gameloft SE,Everyone 10+,500000000,Casual,True,4.4585776,10396433,585100,$0.29 - $99.99 per item,1785242215
Color Block: Combo Blast,Ivy,Everyone,50000000,Puzzle,True,4.444126,54116,852,$4.99 per item,1786333568
Space shooter - Galaxy attack,Unicorn Studio Official,Everyone,100000000,Arcade,True,4.8213286,1913068,39534,$0.99 - $59.99 per item,1785585958
Harry Potter: Puzzles & Spells,Zynga,Everyone,10000000,Puzzle,True,4.698696,912473,53265,$0.99 - $169.99 per item,1786335863
Farm Heroes Saga,King,Everyone,100000000,Casual,True,4.6398144,9831961,431722,$0.99 - $239.99 per item,1785758189
Nonogram.com - Puzzle Games,Easybrain,Everyone,50000000,Puzzle,True,4.586012,897175,18995,$3.99 - $14.99 per item,1783599945
2248 - Numbers Game 2048,Inspired Square FZE,Everyone,50000000,Puzzle,True,4.864861,864882,23360,$0.99 - $99.99 per item,1786106849
Galaxy Conqueror,Rhinos,Everyone 10+,1000,Strategy,False,4.4468083,69,6,$0.99 - $99.99 per item,1779801564
Hungry Shark Evolution,Ubisoft Entertainment,Teen,500000000,Arcade,True,4.49262,7572922,244780,$0.99 - $99.99 per item,1783927864
Match Factory!,Peak,Everyone,10000000,Puzzle,False,4.6622777,688051,23661,$0.99 - $199.99 per item,1786117913
Talking Tom: Hero Dash Run,Outfit7 Limited,Everyone,500000000,Action,True,4.267355,2097177,11569,$0.99 - $114.99 per item,1784024849
Sonic Dash Run,SEGA,Everyone,500000000,Arcade,True,4.6976466,6513357,416807,$0.99 - $99.99 per item,1783522540
Where's My Seat?・Logic Puzzles,Smartmove Global,Everyone,1000000,Puzzle,True,4.7652173,9310,173,$0.99 - $99.99 per item,1785817627
Cooking Madness: A Chef's Game,ZenLife Games Ltd,Teen,100000000,Arcade,True,4.7699466,3267778,78033,$0.99 - $199.99 per item,1785152381
